Precision,Recall,F1,MSE
0.617647,0.411765,0.494118,0.646843
0.522727,0.500000,0.511111,1.012446
0.620690,0.418605,0.500000,0.881641
0.630435,0.591837,0.610526,0.838240
0.576923,0.625000,0.600000,1.186461
0.647059,0.440000,0.523810,0.649646
0.525000,0.600000,0.560000,0.857812
0.628571,0.536585,0.578947,0.564222
0.695652,0.581818,0.633663,1.275978
0.595238,0.462963,0.520833,0.627182
0.628571,0.478261,0.543210,0.745546
0.681818,0.612245,0.645161,0.653933
0.608696,0.571429,0.589474,0.974242
0.608696,0.482759,0.538462,1.188806
0.236607,1.000000,0.382671,1.134239
0.690476,0.557692,0.617021,0.979447
0.681818,0.566038,0.618557,1.013703
0.591837,0.557692,0.574257,1.210463
0.608696,0.571429,0.589474,1.201917
0.500000,0.478261,0.488889,0.668856
0.525000,0.428571,0.471910,0.693868
0.694444,0.500000,0.581395,0.845460
0.702703,0.530612,0.604651,1.039186
0.551020,0.613636,0.580645,0.921057
0.675676,0.490196,0.568182,0.914903
0.600000,0.562500,0.580645,0.671793
0.641026,0.471698,0.543478,0.624254
0.711111,0.627451,0.666667,1.208534
0.500000,0.588235,0.540541,0.900603
0.589744,0.469388,0.522727,0.748022
0.543478,0.531915,0.537634,0.551259
0.634146,0.500000,0.559140,1.333149
0.821429,0.353846,0.494624,1.210357
0.558140,0.480000,0.516129,0.687789
0.619048,0.541667,0.577778,1.090426
0.648649,0.444444,0.527473,1.182137
0.530612,0.604651,0.565217,0.900032
0.710526,0.500000,0.586957,1.339487
0.681818,0.545455,0.606061,0.800592
0.534884,0.621622,0.575000,0.934015
0.675676,0.446429,0.537634,0.667703
0.564103,0.488889,0.523810,0.888973
0.611111,0.564103,0.586667,0.595566
0.459459,0.386364,0.419753,0.928523
0.525000,0.456522,0.488372,0.816432
0.590909,0.590909,0.590909,0.620162
0.578947,0.488889,0.530120,0.735068
0.550000,0.458333,0.500000,0.711479
0.612245,0.612245,0.612245,1.695056
0.596154,0.574074,0.584906,0.906340
0.629032,0.672414,0.650000,0.790450
0.517857,0.591837,0.552381,1.210143
0.615385,0.444444,0.516129,0.564495
0.595238,0.510204,0.549451,1.111976
0.545455,0.489796,0.516129,0.669976
0.625000,0.612245,0.618557,1.000411
0.631579,0.428571,0.510638,0.938088
0.657895,0.500000,0.568182,1.119747
0.634146,0.509804,0.565217,0.707673
0.555556,0.490196,0.520833,1.044229
0.523810,0.423077,0.468085,1.398813
0.681818,0.535714,0.600000,0.739026
0.625000,0.446429,0.520833,0.860221
0.590909,0.577778,0.584270,1.037144
0.637931,0.587302,0.611570,1.229632
0.588235,0.588235,0.588235,0.835124
0.519231,0.627907,0.568421,0.851196
0.690476,0.568627,0.623656,0.970141
0.595745,0.491228,0.538462,1.423855
0.485714,0.361702,0.414634,0.644073
0.581395,0.555556,0.568182,0.819998
0.658537,0.574468,0.613636,0.501231
0.687500,0.568966,0.622642,1.128386
0.650000,0.481481,0.553191,0.993236
0.630435,0.568627,0.597938,1.075721
0.432432,0.666667,0.524590,1.204246
0.682927,0.500000,0.577320,1.579046
0.622222,0.583333,0.602151,0.961451
0.673913,0.607843,0.639175,1.133389
0.615385,0.571429,0.592593,1.400883
0.477273,0.477273,0.477273,0.962018
0.644444,0.547170,0.591837,1.098075
0.545455,0.533333,0.539326,0.832855
0.500000,0.440000,0.468085,0.963883
0.525000,0.488372,0.506024,0.590779
0.686275,0.583333,0.630631,1.740451
0.622222,0.571429,0.595745,0.641319
0.552239,0.672727,0.606557,1.130574
0.681818,0.612245,0.645161,0.795687
0.476190,0.487805,0.481928,0.582134
0.660000,0.559322,0.605505,1.057273
0.529412,0.391304,0.450000,0.545655
0.675000,0.540000,0.600000,0.680852
0.700000,0.560000,0.622222,1.279493
0.625000,0.520833,0.568182,0.618834
0.666667,0.622951,0.644068,0.760284
0.558140,0.571429,0.564706,0.456046
0.708333,0.539683,0.612613,1.497935
0.627451,0.603774,0.615385,1.095464
0.653061,0.627451,0.640000,0.935854
