Precision,Recall,F1,MSE
0.617647,0.411765,0.494118,0.642350
0.578947,0.478261,0.523810,0.994095
0.600000,0.418605,0.493151,0.990887
0.625000,0.510204,0.561798,1.019687
0.563636,0.645833,0.601942,1.189329
0.647059,0.440000,0.523810,0.638272
0.525000,0.600000,0.560000,0.671439
0.628571,0.536585,0.578947,0.573904
0.245536,1.000000,0.394265,1.783789
0.666667,0.444444,0.533333,0.748099
0.628571,0.478261,0.543210,0.738412
0.681818,0.612245,0.645161,0.643251
0.608696,0.571429,0.589474,0.976145
0.634146,0.448276,0.525253,1.119509
0.622222,0.528302,0.571429,0.780988
0.700000,0.538462,0.608696,0.982250
0.714286,0.471698,0.568182,1.127576
0.608696,0.538462,0.571429,1.051409
0.608696,0.571429,0.589474,1.240906
0.512821,0.434783,0.470588,0.728369
0.525000,0.428571,0.471910,0.696755
0.694444,0.500000,0.581395,0.855198
0.666667,0.530612,0.590909,1.053899
0.568627,0.659091,0.610526,0.762947
0.647059,0.431373,0.517647,0.993594
0.508772,0.604167,0.552381,0.580839
0.604651,0.490566,0.541667,0.626228
0.711111,0.627451,0.666667,1.213488
0.575000,0.450980,0.505495,0.892851
0.589744,0.469388,0.522727,0.748776
0.575000,0.489362,0.528736,0.574616
0.634146,0.500000,0.559140,1.340838
0.884615,0.353846,0.505495,1.167347
0.585366,0.480000,0.527473,0.658812
0.619048,0.541667,0.577778,1.085199
0.648649,0.444444,0.527473,1.213403
0.575000,0.534884,0.554217,0.919654
0.710526,0.500000,0.586957,1.333912
0.638298,0.545455,0.588235,0.818932
0.500000,0.621622,0.554217,0.916456
0.653846,0.303571,0.414634,0.738302
0.571429,0.355556,0.438356,0.928657
0.720000,0.461538,0.562500,0.655138
0.485714,0.386364,0.430380,0.961153
0.512195,0.456522,0.482759,0.835430
0.574468,0.613636,0.593407,0.629855
0.514286,0.400000,0.450000,0.750923
0.550000,0.458333,0.500000,0.676408
0.612245,0.612245,0.612245,1.682872
0.592593,0.592593,0.592593,0.901043
0.634615,0.568966,0.600000,0.776492
0.595745,0.571429,0.583333,1.237109
0.615385,0.444444,0.516129,0.563512
0.568182,0.510204,0.537634,1.103714
0.585366,0.489796,0.533333,0.659175
0.600000,0.612245,0.606061,0.945446
0.720000,0.321429,0.444444,0.992090
0.411111,0.740000,0.528571,1.168389
0.607143,0.666667,0.635514,0.701553
0.555556,0.490196,0.520833,1.042432
0.523810,0.423077,0.468085,1.403496
0.690476,0.517857,0.591837,0.765966
0.634146,0.464286,0.536082,0.752340
0.423529,0.800000,0.553846,1.011823
0.641509,0.539683,0.586207,1.276786
0.625000,0.588235,0.606061,0.832926
0.558140,0.558140,0.558140,0.999210
0.714286,0.490196,0.581395,1.136601
0.595745,0.491228,0.538462,1.418781
0.551724,0.340426,0.421053,0.656350
0.575000,0.511111,0.541176,0.789099
0.562500,0.574468,0.568421,0.530061
0.687500,0.568966,0.622642,1.070567
0.709677,0.407407,0.517647,1.003248
0.630435,0.568627,0.597938,1.064166
0.625000,0.625000,0.625000,1.142273
0.682927,0.500000,0.577320,1.576237
0.714286,0.416667,0.526316,1.066598
0.707317,0.568627,0.630435,1.147732
0.615385,0.571429,0.592593,1.378899
0.477273,0.477273,0.477273,1.002829
0.644444,0.547170,0.591837,1.091872
0.545455,0.533333,0.539326,0.832519
0.571429,0.400000,0.470588,0.957630
0.566667,0.395349,0.465753,0.606096
0.725000,0.483333,0.580000,1.741441
0.657143,0.469388,0.547619,0.641123
0.618182,0.618182,0.618182,1.020267
0.586207,0.693878,0.635514,0.816844
0.473684,0.439024,0.455696,0.589090
0.660000,0.559322,0.605505,1.075216
0.516129,0.347826,0.415584,0.690934
0.675000,0.540000,0.600000,0.680150
0.730769,0.380000,0.500000,1.313565
0.642857,0.375000,0.473684,0.668396
0.693878,0.557377,0.618182,0.712999
0.647059,0.261905,0.372881,0.536869
0.739130,0.539683,0.623853,1.485037
0.645833,0.584906,0.613861,1.111214
0.707317,0.568627,0.630435,0.938020
