Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.185185,1.000000,0.312500,0.814815,0.000000,0.185185,0.000000,54.000000,124
0.240741,1.000000,0.388060,0.759259,0.000000,0.240741,0.000000,54.000000,124
0.296296,1.000000,0.457143,0.703704,0.000000,0.296296,0.000000,54.000000,124
0.240741,1.000000,0.388060,0.759259,0.000000,0.240741,0.000000,54.000000,124
0.296296,1.000000,0.457143,0.703704,0.000000,0.296296,0.000000,54.000000,124
0.282051,0.916667,0.431373,0.518519,0.018519,0.203704,0.259259,54.000000,124
0.222222,1.000000,0.363636,0.777778,0.000000,0.222222,0.000000,54.000000,124
0.259259,1.000000,0.411765,0.740741,0.000000,0.259259,0.000000,54.000000,124
0.296296,1.000000,0.457143,0.703704,0.000000,0.296296,0.000000,54.000000,124
0.166667,1.000000,0.285714,0.833333,0.000000,0.166667,0.000000,54.000000,124
0.357143,0.666667,0.465116,0.333333,0.092593,0.185185,0.388889,54.000000,124
0.222222,1.000000,0.363636,0.777778,0.000000,0.222222,0.000000,54.000000,124
0.277778,1.000000,0.434783,0.722222,0.000000,0.277778,0.000000,54.000000,124
0.185185,1.000000,0.312500,0.814815,0.000000,0.185185,0.000000,54.000000,124
0.222222,1.000000,0.363636,0.777778,0.000000,0.222222,0.000000,54.000000,124
0.314815,1.000000,0.478873,0.685185,0.000000,0.314815,0.000000,54.000000,124
0.296296,1.000000,0.457143,0.703704,0.000000,0.296296,0.000000,54.000000,124
0.348837,0.937500,0.508475,0.518519,0.018519,0.277778,0.185185,54.000000,124
0.250000,0.818182,0.382979,0.500000,0.037037,0.166667,0.296296,54.000000,124
0.277778,1.000000,0.434783,0.722222,0.000000,0.277778,0.000000,54.000000,124
