Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.214286,0.375000,0.272727,0.125000,0.056818,0.034091,0.784091,88.000000,102
0.112903,0.875000,0.200000,0.625000,0.011364,0.079545,0.284091,88.000000,102
0.120000,0.500000,0.193548,0.250000,0.034091,0.034091,0.681818,88.000000,102
0.089552,1.000000,0.164384,0.693182,0.000000,0.068182,0.238636,88.000000,102
0.181818,0.666667,0.285714,0.306818,0.034091,0.068182,0.590909,88.000000,102
1.000000,0.181818,0.307692,0.000000,0.102273,0.022727,0.875000,88.000000,102
0.119403,1.000000,0.213333,0.670455,0.000000,0.090909,0.238636,88.000000,102
0.454545,0.833333,0.588235,0.136364,0.022727,0.113636,0.727273,88.000000,102
0.250000,0.666667,0.363636,0.136364,0.022727,0.045455,0.795455,88.000000,102
0.112903,0.875000,0.200000,0.625000,0.011364,0.079545,0.284091,88.000000,102
0.291667,0.875000,0.437500,0.193182,0.011364,0.079545,0.715909,88.000000,102
0.400000,0.600000,0.480000,0.102273,0.045455,0.068182,0.784091,88.000000,102
0.142857,0.727273,0.238806,0.545455,0.034091,0.090909,0.329545,88.000000,102
0.139535,0.750000,0.235294,0.420455,0.022727,0.068182,0.488636,88.000000,102
0.230769,0.230769,0.230769,0.113636,0.113636,0.034091,0.738636,88.000000,102
0.175439,0.769231,0.285714,0.534091,0.034091,0.113636,0.318182,88.000000,102
0.166667,0.750000,0.272727,0.340909,0.022727,0.068182,0.568182,88.000000,102
0.208333,0.714286,0.322581,0.215909,0.022727,0.056818,0.704545,88.000000,102
0.061538,1.000000,0.115942,0.693182,0.000000,0.045455,0.261364,88.000000,102
0.177419,1.000000,0.301370,0.579545,0.000000,0.125000,0.295455,88.000000,102
