Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.100000,0.250000,0.142857,0.204545,0.068182,0.022727,0.704545,88.000000,102
0.178571,0.625000,0.277778,0.261364,0.034091,0.056818,0.647727,88.000000,102
0.060000,0.500000,0.107143,0.534091,0.034091,0.034091,0.397727,88.000000,102
0.076923,0.833333,0.140845,0.681818,0.011364,0.056818,0.250000,88.000000,102
0.134615,0.777778,0.229508,0.511364,0.022727,0.079545,0.386364,88.000000,102
NaN,0.000000,NaN,0.000000,0.125000,0.000000,0.875000,88.000000,102
0.098039,0.625000,0.169492,0.522727,0.034091,0.056818,0.386364,88.000000,102
0.136364,1.000000,0.240000,0.863636,0.000000,0.136364,0.000000,88.000000,102
0.068182,1.000000,0.127660,0.931818,0.000000,0.068182,0.000000,88.000000,102
0.125000,1.000000,0.222222,0.636364,0.000000,0.090909,0.272727,88.000000,102
NaN,0.000000,NaN,0.000000,0.090909,0.000000,0.909091,88.000000,102
0.400000,0.600000,0.480000,0.102273,0.045455,0.068182,0.784091,88.000000,102
0.125000,1.000000,0.222222,0.875000,0.000000,0.125000,0.000000,88.000000,102
0.139535,0.750000,0.235294,0.420455,0.022727,0.068182,0.488636,88.000000,102
NaN,0.000000,NaN,0.000000,0.147727,0.000000,0.852273,88.000000,102
0.236842,0.692308,0.352941,0.329545,0.045455,0.102273,0.522727,88.000000,102
0.090909,1.000000,0.166667,0.909091,0.000000,0.090909,0.000000,88.000000,102
0.428571,0.428571,0.428571,0.045455,0.045455,0.034091,0.875000,88.000000,102
0.061538,1.000000,0.115942,0.693182,0.000000,0.045455,0.261364,88.000000,102
0.636364,0.636364,0.636364,0.045455,0.045455,0.079545,0.829545,88.000000,102
