Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
0.607143,0.102410,0.175258,0.014765,0.200000,0.022819,0.762416,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
0.679487,0.319277,0.434426,0.033557,0.151678,0.071141,0.743624,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
NaN,0.000000,NaN,0.000000,0.222819,0.000000,0.777181,745.000000,205
