Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
NaN,0.000000,NaN,0.000000,0.039216,0.000000,0.960784,102.000000,118
0.086957,0.666667,0.153846,0.205882,0.009804,0.019608,0.764706,102.000000,118
0.040000,0.333333,0.071429,0.235294,0.019608,0.009804,0.735294,102.000000,118
NaN,0.000000,NaN,0.000000,0.058824,0.000000,0.941176,102.000000,118
NaN,0.000000,NaN,0.000000,0.029412,0.000000,0.970588,102.000000,118
NaN,0.000000,NaN,0.000000,0.039216,0.000000,0.960784,102.000000,118
0.000000,0.000000,NaN,0.225490,0.049020,0.000000,0.725490,102.000000,118
0.055556,0.250000,0.090909,0.166667,0.029412,0.009804,0.794118,102.000000,118
0.142857,0.333333,0.200000,0.058824,0.019608,0.009804,0.911765,102.000000,118
NaN,0.000000,NaN,0.000000,0.078431,0.000000,0.921569,102.000000,118
NaN,0.000000,NaN,0.000000,0.019608,0.000000,0.980392,102.000000,118
0.045455,0.333333,0.080000,0.205882,0.019608,0.009804,0.764706,102.000000,118
NaN,0.000000,NaN,0.000000,0.039216,0.000000,0.960784,102.000000,118
NaN,0.000000,NaN,0.000000,0.019608,0.000000,0.980392,102.000000,118
NaN,0.000000,NaN,0.000000,0.029412,0.000000,0.970588,102.000000,118
NaN,0.000000,NaN,0.000000,0.019608,0.000000,0.980392,102.000000,118
NaN,0.000000,NaN,0.000000,0.029412,0.000000,0.970588,102.000000,118
NaN,0.000000,NaN,0.000000,0.058824,0.000000,0.941176,102.000000,118
0.000000,0.000000,NaN,0.009804,0.039216,0.000000,0.950980,102.000000,118
NaN,0.000000,NaN,0.000000,0.009804,0.000000,0.990196,102.000000,118
