Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.069620,0.846154,0.128655,0.433628,0.005900,0.032448,0.528024,339.000000,212
0.062500,0.923077,0.117073,0.530973,0.002950,0.035398,0.430678,339.000000,212
0.038348,1.000000,0.073864,0.961652,0.000000,0.038348,0.000000,339.000000,212
0.061111,0.846154,0.113990,0.498525,0.005900,0.032448,0.463127,339.000000,212
0.038348,1.000000,0.073864,0.961652,0.000000,0.038348,0.000000,339.000000,212
0.038348,1.000000,0.073864,0.961652,0.000000,0.038348,0.000000,339.000000,212
0.038348,1.000000,0.073864,0.961652,0.000000,0.038348,0.000000,339.000000,212
0.061538,0.923077,0.115385,0.539823,0.002950,0.035398,0.421829,339.000000,212
0.054726,0.846154,0.102804,0.560472,0.005900,0.032448,0.401180,339.000000,212
0.038348,1.000000,0.073864,0.961652,0.000000,0.038348,0.000000,339.000000,212
0.040268,0.923077,0.077170,0.843658,0.002950,0.035398,0.117994,339.000000,212
0.038348,1.000000,0.073864,0.961652,0.000000,0.038348,0.000000,339.000000,212
0.056604,0.923077,0.106667,0.589971,0.002950,0.035398,0.371681,339.000000,212
0.040359,0.692308,0.076271,0.631268,0.011799,0.026549,0.330383,339.000000,212
0.038348,1.000000,0.073864,0.961652,0.000000,0.038348,0.000000,339.000000,212
0.069620,0.846154,0.128655,0.433628,0.005900,0.032448,0.528024,339.000000,212
0.038348,1.000000,0.073864,0.961652,0.000000,0.038348,0.000000,339.000000,212
0.061453,0.846154,0.114583,0.495575,0.005900,0.032448,0.466077,339.000000,212
0.061798,0.846154,0.115183,0.492625,0.005900,0.032448,0.469027,339.000000,212
0.061111,0.846154,0.113990,0.498525,0.005900,0.032448,0.463127,339.000000,212
