Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.115942,0.615385,0.195122,0.179941,0.014749,0.023599,0.781711,339.000000,213
NaN,0.000000,NaN,0.000000,0.038348,0.000000,0.961652,339.000000,213
0.106667,0.615385,0.181818,0.197640,0.014749,0.023599,0.764012,339.000000,213
0.106061,0.538462,0.177215,0.174041,0.017699,0.020649,0.787611,339.000000,213
0.090909,0.846154,0.164179,0.324484,0.005900,0.032448,0.637168,339.000000,213
0.106667,0.615385,0.181818,0.197640,0.014749,0.023599,0.764012,339.000000,213
0.108434,0.692308,0.187500,0.218289,0.011799,0.026549,0.743363,339.000000,213
0.076923,0.461538,0.131868,0.212389,0.020649,0.017699,0.749263,339.000000,213
0.106061,0.538462,0.177215,0.174041,0.017699,0.020649,0.787611,339.000000,213
0.115942,0.615385,0.195122,0.179941,0.014749,0.023599,0.781711,339.000000,213
0.080000,0.615385,0.141593,0.271386,0.014749,0.023599,0.690265,339.000000,213
0.120690,0.538462,0.197183,0.150442,0.017699,0.020649,0.811209,339.000000,213
NaN,0.000000,NaN,0.000000,0.038348,0.000000,0.961652,339.000000,213
0.116667,0.538462,0.191781,0.156342,0.017699,0.020649,0.805310,339.000000,213
0.106667,0.615385,0.181818,0.197640,0.014749,0.023599,0.764012,339.000000,213
0.080000,0.615385,0.141593,0.271386,0.014749,0.023599,0.690265,339.000000,213
0.160000,0.307692,0.210526,0.061947,0.026549,0.011799,0.899705,339.000000,213
0.115942,0.615385,0.195122,0.179941,0.014749,0.023599,0.781711,339.000000,213
0.052632,0.923077,0.099585,0.637168,0.002950,0.035398,0.324484,339.000000,213
0.061856,0.923077,0.115942,0.536873,0.002950,0.035398,0.424779,339.000000,213
