Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.236842,0.837209,0.369231,0.442748,0.026718,0.137405,0.393130,262.000000,457
0.164122,1.000000,0.281967,0.835878,0.000000,0.164122,0.000000,262.000000,457
0.213836,0.829268,0.340000,0.477099,0.026718,0.129771,0.366412,262.000000,457
0.160305,1.000000,0.276316,0.839695,0.000000,0.160305,0.000000,262.000000,457
0.217687,0.842105,0.345946,0.438931,0.022901,0.122137,0.416031,262.000000,457
0.141221,1.000000,0.247492,0.858779,0.000000,0.141221,0.000000,262.000000,457
0.206107,1.000000,0.341772,0.793893,0.000000,0.206107,0.000000,262.000000,457
0.160305,1.000000,0.276316,0.839695,0.000000,0.160305,0.000000,262.000000,457
0.214815,0.805556,0.339181,0.404580,0.026718,0.110687,0.458015,262.000000,457
0.171756,1.000000,0.293160,0.828244,0.000000,0.171756,0.000000,262.000000,457
0.167939,1.000000,0.287582,0.832061,0.000000,0.167939,0.000000,262.000000,457
0.256579,0.795918,0.388060,0.431298,0.038168,0.148855,0.381679,262.000000,457
0.225166,0.850000,0.356021,0.446565,0.022901,0.129771,0.400763,262.000000,457
0.227513,0.843137,0.358333,0.557252,0.030534,0.164122,0.248092,262.000000,457
0.245033,0.880952,0.383420,0.435115,0.019084,0.141221,0.404580,262.000000,457
0.118321,1.000000,0.211604,0.881679,0.000000,0.118321,0.000000,262.000000,457
0.361111,0.629032,0.458824,0.263359,0.087786,0.148855,0.500000,262.000000,457
0.206107,1.000000,0.341772,0.793893,0.000000,0.206107,0.000000,262.000000,457
0.148855,1.000000,0.259136,0.851145,0.000000,0.148855,0.000000,262.000000,457
0.145038,1.000000,0.253333,0.854962,0.000000,0.145038,0.000000,262.000000,457
