Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.206349,0.906977,0.336207,0.572519,0.015267,0.148855,0.263359,262.000000,610
0.214689,0.883721,0.345455,0.530534,0.019084,0.145038,0.305344,262.000000,610
0.163934,0.731707,0.267857,0.583969,0.041985,0.114504,0.259542,262.000000,610
0.217877,0.928571,0.352941,0.534351,0.011450,0.148855,0.305344,262.000000,610
0.177665,0.921053,0.297872,0.618321,0.011450,0.133588,0.236641,262.000000,610
0.177515,0.810811,0.291262,0.530534,0.026718,0.114504,0.328244,262.000000,610
0.206107,1.000000,0.341772,0.793893,0.000000,0.206107,0.000000,262.000000,610
0.160305,1.000000,0.276316,0.839695,0.000000,0.160305,0.000000,262.000000,610
0.170213,0.888889,0.285714,0.595420,0.015267,0.122137,0.267176,262.000000,610
0.229412,0.866667,0.362791,0.500000,0.022901,0.148855,0.328244,262.000000,610
0.213904,0.909091,0.346320,0.561069,0.015267,0.152672,0.270992,262.000000,610
0.242604,0.836735,0.376147,0.488550,0.030534,0.156489,0.324427,262.000000,610
0.203488,0.875000,0.330189,0.522901,0.019084,0.133588,0.324427,262.000000,610
0.238889,0.843137,0.372294,0.522901,0.030534,0.164122,0.282443,262.000000,610
0.207447,0.928571,0.339130,0.568702,0.011450,0.148855,0.270992,262.000000,610
0.118321,1.000000,0.211604,0.881679,0.000000,0.118321,0.000000,262.000000,610
0.295302,0.709677,0.417062,0.400763,0.068702,0.167939,0.362595,262.000000,610
0.237569,0.796296,0.365957,0.526718,0.041985,0.164122,0.267176,262.000000,610
0.202312,0.897436,0.330189,0.526718,0.015267,0.133588,0.324427,262.000000,610
0.181347,0.921053,0.303030,0.603053,0.011450,0.133588,0.251908,262.000000,610
