Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.468254,0.273148,0.345029,0.110197,0.258224,0.097039,0.534539,608.000000,610
0.467626,0.300926,0.366197,0.121711,0.248355,0.106908,0.523026,608.000000,610
0.467626,0.300926,0.366197,0.121711,0.248355,0.106908,0.523026,608.000000,610
0.467626,0.300926,0.366197,0.121711,0.248355,0.106908,0.523026,608.000000,610
0.468254,0.273148,0.345029,0.110197,0.258224,0.097039,0.534539,608.000000,610
0.472603,0.319444,0.381215,0.126645,0.241776,0.113487,0.518092,608.000000,610
0.657895,0.115741,0.196850,0.021382,0.314145,0.041118,0.623355,608.000000,610
0.440476,0.342593,0.385417,0.154605,0.233553,0.121711,0.490132,608.000000,610
0.468254,0.273148,0.345029,0.110197,0.258224,0.097039,0.534539,608.000000,610
0.467626,0.300926,0.366197,0.121711,0.248355,0.106908,0.523026,608.000000,610
0.468254,0.273148,0.345029,0.110197,0.258224,0.097039,0.534539,608.000000,610
0.467626,0.300926,0.366197,0.121711,0.248355,0.106908,0.523026,608.000000,610
0.467626,0.300926,0.366197,0.121711,0.248355,0.106908,0.523026,608.000000,610
0.468468,0.240741,0.318043,0.097039,0.269737,0.085526,0.547697,608.000000,610
0.467626,0.300926,0.366197,0.121711,0.248355,0.106908,0.523026,608.000000,610
0.468254,0.273148,0.345029,0.110197,0.258224,0.097039,0.534539,608.000000,610
0.440476,0.342593,0.385417,0.154605,0.233553,0.121711,0.490132,608.000000,610
0.468254,0.273148,0.345029,0.110197,0.258224,0.097039,0.534539,608.000000,610
0.468254,0.273148,0.345029,0.110197,0.258224,0.097039,0.534539,608.000000,610
0.440476,0.342593,0.385417,0.154605,0.233553,0.121711,0.490132,608.000000,610
