Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,20
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,352.000000,20
0.116279,0.250000,0.158730,0.215909,0.085227,0.028409,0.670455,352.000000,20
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,20
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,352.000000,20
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,352.000000,20
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,20
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,352.000000,20
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,20
0.080460,0.175000,0.110236,0.227273,0.093750,0.019886,0.659091,352.000000,20
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,20
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,20
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,20
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,352.000000,20
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,20
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,20
0.326087,0.750000,0.454545,0.176136,0.028409,0.085227,0.710227,352.000000,20
0.248062,0.800000,0.378698,0.275568,0.022727,0.090909,0.610795,352.000000,20
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,20
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,352.000000,20
