Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.262712,0.775000,0.392405,0.247159,0.025568,0.088068,0.639205,352.000000,33
0.219697,0.725000,0.337209,0.292614,0.031250,0.082386,0.593750,352.000000,33
0.039604,0.100000,0.056738,0.275568,0.102273,0.011364,0.610795,352.000000,33
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,33
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,352.000000,33
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,352.000000,33
0.081081,0.075000,0.077922,0.096591,0.105114,0.008523,0.789773,352.000000,33
0.161435,0.900000,0.273764,0.531250,0.011364,0.102273,0.355114,352.000000,33
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,33
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,352.000000,33
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,33
0.116279,0.250000,0.158730,0.215909,0.085227,0.028409,0.670455,352.000000,33
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,33
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,33
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,33
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,33
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,352.000000,33
0.280000,0.525000,0.365217,0.153409,0.053977,0.059659,0.732955,352.000000,33
0.342466,0.625000,0.442478,0.136364,0.042614,0.071023,0.750000,352.000000,33
0.208092,0.900000,0.338028,0.389205,0.011364,0.102273,0.497159,352.000000,33
