Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
NaN,0.000000,NaN,0.000000,0.095890,0.000000,0.904110,73.000000,168
NaN,0.000000,NaN,0.000000,0.041096,0.000000,0.958904,73.000000,168
0.142857,0.250000,0.181818,0.082192,0.041096,0.013699,0.863014,73.000000,168
0.142857,0.571429,0.228571,0.328767,0.041096,0.054795,0.575342,73.000000,168
NaN,0.000000,NaN,0.000000,0.082192,0.000000,0.917808,73.000000,168
NaN,0.000000,NaN,0.000000,0.068493,0.000000,0.931507,73.000000,168
NaN,0.000000,NaN,0.000000,0.041096,0.000000,0.958904,73.000000,168
NaN,0.000000,NaN,0.000000,0.054795,0.000000,0.945205,73.000000,168
NaN,0.000000,NaN,0.000000,0.082192,0.000000,0.917808,73.000000,168
NaN,0.000000,NaN,0.000000,0.082192,0.000000,0.917808,73.000000,168
NaN,0.000000,NaN,0.000000,0.082192,0.000000,0.917808,73.000000,168
0.125000,0.250000,0.166667,0.095890,0.041096,0.013699,0.849315,73.000000,168
0.230769,0.666667,0.342857,0.273973,0.041096,0.082192,0.602740,73.000000,168
NaN,0.000000,NaN,0.000000,0.068493,0.000000,0.931507,73.000000,168
NaN,0.000000,NaN,0.000000,0.068493,0.000000,0.931507,73.000000,168
NaN,0.000000,NaN,0.000000,0.082192,0.000000,0.917808,73.000000,168
NaN,0.000000,NaN,0.000000,0.054795,0.000000,0.945205,73.000000,168
NaN,0.000000,NaN,0.000000,0.041096,0.000000,0.958904,73.000000,168
NaN,0.000000,NaN,0.000000,0.068493,0.000000,0.931507,73.000000,168
NaN,0.000000,NaN,0.000000,0.054795,0.000000,0.945205,73.000000,168
