Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
0.389831,0.575000,0.464646,0.102273,0.048295,0.065341,0.784091,352.000000,168
0.252252,0.700000,0.370861,0.235795,0.034091,0.079545,0.650568,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
0.434783,0.500000,0.465116,0.073864,0.056818,0.056818,0.812500,352.000000,168
0.248062,0.800000,0.378698,0.275568,0.022727,0.090909,0.610795,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
NaN,0.000000,NaN,0.000000,0.113636,0.000000,0.886364,352.000000,168
