Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.216216,0.727273,0.333333,0.273585,0.028302,0.075472,0.622642,106.000000,123
0.141509,1.000000,0.247934,0.858491,0.000000,0.141509,0.000000,106.000000,123
0.205128,0.615385,0.307692,0.292453,0.047170,0.075472,0.584906,106.000000,123
0.384615,0.416667,0.400000,0.075472,0.066038,0.047170,0.811321,106.000000,123
NaN,0.000000,NaN,0.000000,0.066038,0.000000,0.933962,106.000000,123
NaN,0.000000,NaN,0.000000,0.122642,0.000000,0.877358,106.000000,123
0.148649,1.000000,0.258824,0.594340,0.000000,0.103774,0.301887,106.000000,123
0.137255,0.777778,0.233333,0.415094,0.018868,0.066038,0.500000,106.000000,123
0.250000,0.687500,0.366667,0.311321,0.047170,0.103774,0.537736,106.000000,123
0.270270,0.714286,0.392157,0.254717,0.037736,0.094340,0.613208,106.000000,123
0.075472,1.000000,0.140351,0.924528,0.000000,0.075472,0.000000,106.000000,123
0.185185,0.833333,0.303030,0.415094,0.018868,0.094340,0.471698,106.000000,123
0.282609,0.866667,0.426230,0.311321,0.018868,0.122642,0.547170,106.000000,123
0.084906,1.000000,0.156522,0.915094,0.000000,0.084906,0.000000,106.000000,123
0.250000,0.933333,0.394366,0.396226,0.009434,0.132075,0.462264,106.000000,123
0.094340,1.000000,0.172414,0.905660,0.000000,0.094340,0.000000,106.000000,123
0.173913,0.923077,0.292683,0.537736,0.009434,0.113208,0.339623,106.000000,123
0.094340,1.000000,0.172414,0.905660,0.000000,0.094340,0.000000,106.000000,123
0.140625,0.900000,0.243243,0.518868,0.009434,0.084906,0.386792,106.000000,123
0.136986,1.000000,0.240964,0.594340,0.000000,0.094340,0.311321,106.000000,123
