Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.103774,1.000000,0.188034,0.896226,0.000000,0.103774,0.000000,106.000000,184
0.216667,0.866667,0.346667,0.443396,0.018868,0.122642,0.415094,106.000000,184
0.205128,0.615385,0.307692,0.292453,0.047170,0.075472,0.584906,106.000000,184
0.157895,1.000000,0.272727,0.603774,0.000000,0.113208,0.283019,106.000000,184
0.094595,1.000000,0.172840,0.632075,0.000000,0.066038,0.301887,106.000000,184
0.122642,1.000000,0.218487,0.877358,0.000000,0.122642,0.000000,106.000000,184
0.148649,1.000000,0.258824,0.594340,0.000000,0.103774,0.301887,106.000000,184
0.116883,1.000000,0.209302,0.641509,0.000000,0.084906,0.273585,106.000000,184
0.411765,0.437500,0.424242,0.094340,0.084906,0.066038,0.754717,106.000000,184
0.188406,0.928571,0.313253,0.528302,0.009434,0.122642,0.339623,106.000000,184
0.119403,1.000000,0.213333,0.556604,0.000000,0.075472,0.367925,106.000000,184
0.161765,0.916667,0.275000,0.537736,0.009434,0.103774,0.349057,106.000000,184
0.141509,1.000000,0.247934,0.858491,0.000000,0.141509,0.000000,106.000000,184
0.125000,1.000000,0.222222,0.594340,0.000000,0.084906,0.320755,106.000000,184
0.240741,0.866667,0.376812,0.386792,0.018868,0.122642,0.471698,106.000000,184
0.135593,0.800000,0.231884,0.481132,0.018868,0.075472,0.424528,106.000000,184
0.173913,0.923077,0.292683,0.537736,0.009434,0.113208,0.339623,106.000000,184
0.149254,1.000000,0.259740,0.537736,0.000000,0.094340,0.367925,106.000000,184
0.400000,0.600000,0.480000,0.084906,0.037736,0.056604,0.820755,106.000000,184
0.136986,1.000000,0.240964,0.594340,0.000000,0.094340,0.311321,106.000000,184
