Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.175573,0.958333,0.296774,0.588556,0.005450,0.125341,0.280654,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
0.130790,1.000000,0.231325,0.869210,0.000000,0.130790,0.000000,367.000000,218
