Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.042735,0.454545,0.078125,0.227642,0.012195,0.010163,0.750000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.045455,0.545455,0.083916,0.256098,0.010163,0.012195,0.721545,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.044025,0.636364,0.082353,0.308943,0.008130,0.014228,0.668699,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.058252,0.545455,0.105263,0.197154,0.010163,0.012195,0.780488,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,25
