Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,128
0.048611,0.636364,0.090323,0.278455,0.008130,0.014228,0.699187,492.000000,128
0.078125,0.454545,0.133333,0.119919,0.012195,0.010163,0.857724,492.000000,128
0.025000,0.545455,0.047809,0.475610,0.010163,0.012195,0.502033,492.000000,128
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,128
0.024490,0.545455,0.046875,0.485772,0.010163,0.012195,0.491870,492.000000,128
0.025180,0.636364,0.048443,0.550813,0.008130,0.014228,0.426829,492.000000,128
0.025000,0.545455,0.047809,0.475610,0.010163,0.012195,0.502033,492.000000,128
0.060606,0.545455,0.109091,0.189024,0.010163,0.012195,0.788618,492.000000,128
0.021341,0.636364,0.041298,0.652439,0.008130,0.014228,0.325203,492.000000,128
0.041176,0.636364,0.077348,0.331301,0.008130,0.014228,0.646341,492.000000,128
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,128
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,128
0.055556,0.636364,0.102190,0.241870,0.008130,0.014228,0.735772,492.000000,128
0.032609,0.545455,0.061538,0.361789,0.010163,0.012195,0.615854,492.000000,128
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,128
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,128
0.054264,0.636364,0.100000,0.247967,0.008130,0.014228,0.729675,492.000000,128
0.022358,1.000000,0.043738,0.977642,0.000000,0.022358,0.000000,492.000000,128
0.041176,0.636364,0.077348,0.331301,0.008130,0.014228,0.646341,492.000000,128
