Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
NaN,0.000000,NaN,0.000000,0.027027,0.000000,0.972973,148.000000,120
0.037037,0.333333,0.066667,0.175676,0.013514,0.006757,0.804054,148.000000,120
NaN,0.000000,NaN,0.000000,0.027027,0.000000,0.972973,148.000000,120
0.000000,0.000000,NaN,0.114865,0.006757,0.000000,0.878378,148.000000,120
0.000000,0.000000,NaN,0.013514,0.020270,0.000000,0.966216,148.000000,120
0.000000,0.000000,NaN,0.013514,0.020270,0.000000,0.966216,148.000000,120
NaN,0.000000,NaN,0.000000,0.020270,0.000000,0.979730,148.000000,120
NaN,0.000000,NaN,0.000000,0.020270,0.000000,0.979730,148.000000,120
0.000000,0.000000,NaN,0.020270,0.033784,0.000000,0.945946,148.000000,120
0.000000,0.000000,NaN,0.182432,0.006757,0.000000,0.810811,148.000000,120
NaN,0.000000,NaN,0.000000,0.047297,0.000000,0.952703,148.000000,120
NaN,0.000000,NaN,0.000000,0.027027,0.000000,0.972973,148.000000,120
NaN,0.000000,NaN,0.000000,0.020270,0.000000,0.979730,148.000000,120
0.038462,0.200000,0.064516,0.168919,0.027027,0.006757,0.797297,148.000000,120
NaN,0.000000,NaN,0.000000,0.006757,0.000000,0.993243,148.000000,120
NaN,0.000000,NaN,0.000000,0.027027,0.000000,0.972973,148.000000,120
NaN,0.000000,NaN,0.000000,0.013514,0.000000,0.986486,148.000000,120
0.058824,0.333333,0.100000,0.108108,0.013514,0.006757,0.871622,148.000000,120
NaN,0.000000,NaN,0.000000,0.040541,0.000000,0.959459,148.000000,120
0.083333,0.166667,0.111111,0.074324,0.033784,0.006757,0.885135,148.000000,120
