Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.243902,1.000000,0.392157,0.756098,0.000000,0.243902,0.000000,41.000000,32
0.268293,1.000000,0.423077,0.731707,0.000000,0.268293,0.000000,41.000000,32
0.268293,1.000000,0.423077,0.731707,0.000000,0.268293,0.000000,41.000000,32
0.195122,1.000000,0.326531,0.804878,0.000000,0.195122,0.000000,41.000000,32
0.292683,1.000000,0.452830,0.707317,0.000000,0.292683,0.000000,41.000000,32
0.317073,1.000000,0.481481,0.682927,0.000000,0.317073,0.000000,41.000000,32
0.317073,1.000000,0.481481,0.682927,0.000000,0.317073,0.000000,41.000000,32
0.317073,1.000000,0.481481,0.682927,0.000000,0.317073,0.000000,41.000000,32
0.195122,1.000000,0.326531,0.804878,0.000000,0.195122,0.000000,41.000000,32
0.219512,1.000000,0.360000,0.780488,0.000000,0.219512,0.000000,41.000000,32
0.170732,1.000000,0.291667,0.829268,0.000000,0.170732,0.000000,41.000000,32
0.195122,1.000000,0.326531,0.804878,0.000000,0.195122,0.000000,41.000000,32
0.341463,1.000000,0.509091,0.658537,0.000000,0.341463,0.000000,41.000000,32
0.292683,1.000000,0.452830,0.707317,0.000000,0.292683,0.000000,41.000000,32
0.268293,1.000000,0.423077,0.731707,0.000000,0.268293,0.000000,41.000000,32
0.317073,1.000000,0.481481,0.682927,0.000000,0.317073,0.000000,41.000000,32
0.195122,1.000000,0.326531,0.804878,0.000000,0.195122,0.000000,41.000000,32
0.292683,1.000000,0.452830,0.707317,0.000000,0.292683,0.000000,41.000000,32
0.268293,1.000000,0.423077,0.731707,0.000000,0.268293,0.000000,41.000000,32
0.195122,1.000000,0.326531,0.804878,0.000000,0.195122,0.000000,41.000000,32
