Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
0.339450,1.000000,0.506849,0.660550,0.000000,0.339450,0.000000,109.000000,32
