Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
0.921951,1.000000,0.959391,0.078049,0.000000,0.921951,0.000000,205.000000,20
