Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.303030,1.000000,0.465116,0.696970,0.000000,0.303030,0.000000,33.000000,57
0.303030,1.000000,0.465116,0.696970,0.000000,0.303030,0.000000,33.000000,57
0.303030,1.000000,0.465116,0.696970,0.000000,0.303030,0.000000,33.000000,57
0.363636,1.000000,0.533333,0.636364,0.000000,0.363636,0.000000,33.000000,57
0.333333,1.000000,0.500000,0.666667,0.000000,0.333333,0.000000,33.000000,57
0.303030,1.000000,0.465116,0.696970,0.000000,0.303030,0.000000,33.000000,57
0.212121,1.000000,0.350000,0.787879,0.000000,0.212121,0.000000,33.000000,57
0.393939,1.000000,0.565217,0.606061,0.000000,0.393939,0.000000,33.000000,57
0.181818,1.000000,0.307692,0.818182,0.000000,0.181818,0.000000,33.000000,57
0.272727,1.000000,0.428571,0.727273,0.000000,0.272727,0.000000,33.000000,57
0.424242,1.000000,0.595745,0.575758,0.000000,0.424242,0.000000,33.000000,57
0.242424,1.000000,0.390244,0.757576,0.000000,0.242424,0.000000,33.000000,57
0.333333,1.000000,0.500000,0.666667,0.000000,0.333333,0.000000,33.000000,57
0.363636,1.000000,0.533333,0.636364,0.000000,0.363636,0.000000,33.000000,57
0.363636,1.000000,0.533333,0.636364,0.000000,0.363636,0.000000,33.000000,57
0.363636,1.000000,0.533333,0.636364,0.000000,0.363636,0.000000,33.000000,57
0.333333,1.000000,0.500000,0.666667,0.000000,0.333333,0.000000,33.000000,57
0.454545,1.000000,0.625000,0.545455,0.000000,0.454545,0.000000,33.000000,57
0.212121,1.000000,0.350000,0.787879,0.000000,0.212121,0.000000,33.000000,57
0.272727,1.000000,0.428571,0.727273,0.000000,0.272727,0.000000,33.000000,57
