Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.389831,1.000000,0.560976,0.610169,0.000000,0.389831,0.000000,59.000000,47
0.576271,1.000000,0.731183,0.423729,0.000000,0.576271,0.000000,59.000000,47
0.491525,1.000000,0.659091,0.508475,0.000000,0.491525,0.000000,59.000000,47
0.474576,1.000000,0.643678,0.525424,0.000000,0.474576,0.000000,59.000000,47
0.423729,1.000000,0.595238,0.576271,0.000000,0.423729,0.000000,59.000000,47
0.508475,1.000000,0.674157,0.491525,0.000000,0.508475,0.000000,59.000000,47
0.440678,1.000000,0.611765,0.559322,0.000000,0.440678,0.000000,59.000000,47
0.423729,1.000000,0.595238,0.576271,0.000000,0.423729,0.000000,59.000000,47
0.372881,1.000000,0.543210,0.627119,0.000000,0.372881,0.000000,59.000000,47
0.491525,1.000000,0.659091,0.508475,0.000000,0.491525,0.000000,59.000000,47
0.525424,1.000000,0.688889,0.474576,0.000000,0.525424,0.000000,59.000000,47
0.474576,1.000000,0.643678,0.525424,0.000000,0.474576,0.000000,59.000000,47
0.525424,1.000000,0.688889,0.474576,0.000000,0.525424,0.000000,59.000000,47
0.457627,1.000000,0.627907,0.542373,0.000000,0.457627,0.000000,59.000000,47
0.457627,1.000000,0.627907,0.542373,0.000000,0.457627,0.000000,59.000000,47
0.440678,1.000000,0.611765,0.559322,0.000000,0.440678,0.000000,59.000000,47
0.423729,1.000000,0.595238,0.576271,0.000000,0.423729,0.000000,59.000000,47
0.474576,1.000000,0.643678,0.525424,0.000000,0.474576,0.000000,59.000000,47
0.610169,1.000000,0.757895,0.389831,0.000000,0.610169,0.000000,59.000000,47
0.440678,1.000000,0.611765,0.559322,0.000000,0.440678,0.000000,59.000000,47
