Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
0.597059,1.000000,0.747698,0.402941,0.000000,0.597059,0.000000,340.000000,172
