Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.843373,0.282258,0.422961,0.033766,0.462338,0.181818,0.322078,385.000000,21
0.644156,1.000000,0.783570,0.355844,0.000000,0.644156,0.000000,385.000000,21
0.350877,0.080645,0.131148,0.096104,0.592208,0.051948,0.259740,385.000000,21
NaN,0.000000,NaN,0.000000,0.644156,0.000000,0.355844,385.000000,21
0.644156,1.000000,0.783570,0.355844,0.000000,0.644156,0.000000,385.000000,21
0.791304,0.366935,0.501377,0.062338,0.407792,0.236364,0.293506,385.000000,21
NaN,0.000000,NaN,0.000000,0.644156,0.000000,0.355844,385.000000,21
0.587302,0.149194,0.237942,0.067532,0.548052,0.096104,0.288312,385.000000,21
0.644156,1.000000,0.783570,0.355844,0.000000,0.644156,0.000000,385.000000,21
0.571429,0.322581,0.412371,0.155844,0.436364,0.207792,0.200000,385.000000,21
0.641026,0.201613,0.306748,0.072727,0.514286,0.129870,0.283117,385.000000,21
0.344262,0.084677,0.135922,0.103896,0.589610,0.054545,0.251948,385.000000,21
0.543750,0.350806,0.426471,0.189610,0.418182,0.225974,0.166234,385.000000,21
0.500000,0.080645,0.138889,0.051948,0.592208,0.051948,0.303896,385.000000,21
0.575000,0.278226,0.375000,0.132468,0.464935,0.179221,0.223377,385.000000,21
0.644156,1.000000,0.783570,0.355844,0.000000,0.644156,0.000000,385.000000,21
NaN,0.000000,NaN,0.000000,0.644156,0.000000,0.355844,385.000000,21
0.612903,0.306452,0.408602,0.124675,0.446753,0.197403,0.231169,385.000000,21
0.571429,0.322581,0.412371,0.155844,0.436364,0.207792,0.200000,385.000000,21
0.644156,1.000000,0.783570,0.355844,0.000000,0.644156,0.000000,385.000000,21
