Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.772727,0.754032,0.763265,0.142857,0.158442,0.485714,0.212987,385.000000,76
0.762097,0.762097,0.762097,0.153247,0.153247,0.490909,0.202597,385.000000,76
0.772727,0.754032,0.763265,0.142857,0.158442,0.485714,0.212987,385.000000,76
0.623077,0.326613,0.428571,0.127273,0.433766,0.210390,0.228571,385.000000,76
0.788321,0.870968,0.827586,0.150649,0.083117,0.561039,0.205195,385.000000,76
0.623077,0.326613,0.428571,0.127273,0.433766,0.210390,0.228571,385.000000,76
0.721557,0.971774,0.828179,0.241558,0.018182,0.625974,0.114286,385.000000,76
0.743590,0.818548,0.779271,0.181818,0.116883,0.527273,0.174026,385.000000,76
0.772727,0.754032,0.763265,0.142857,0.158442,0.485714,0.212987,385.000000,76
0.644156,1.000000,0.783570,0.355844,0.000000,0.644156,0.000000,385.000000,76
0.772727,0.754032,0.763265,0.142857,0.158442,0.485714,0.212987,385.000000,76
0.623077,0.326613,0.428571,0.127273,0.433766,0.210390,0.228571,385.000000,76
0.644156,1.000000,0.783570,0.355844,0.000000,0.644156,0.000000,385.000000,76
0.644156,1.000000,0.783570,0.355844,0.000000,0.644156,0.000000,385.000000,76
0.684211,0.209677,0.320988,0.062338,0.509091,0.135065,0.293506,385.000000,76
0.794466,0.810484,0.802395,0.135065,0.122078,0.522078,0.220779,385.000000,76
0.772727,0.754032,0.763265,0.142857,0.158442,0.485714,0.212987,385.000000,76
0.644156,1.000000,0.783570,0.355844,0.000000,0.644156,0.000000,385.000000,76
0.772727,0.754032,0.763265,0.142857,0.158442,0.485714,0.212987,385.000000,76
0.772727,0.754032,0.763265,0.142857,0.158442,0.485714,0.212987,385.000000,76
