Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.416667,0.357143,0.384615,0.073684,0.094737,0.052632,0.778947,95.000000,109
0.222222,0.461538,0.300000,0.221053,0.073684,0.063158,0.642105,95.000000,109
0.084211,1.000000,0.155340,0.915789,0.000000,0.084211,0.000000,95.000000,109
0.073684,1.000000,0.137255,0.926316,0.000000,0.073684,0.000000,95.000000,109
0.205882,0.583333,0.304348,0.284211,0.052632,0.073684,0.589474,95.000000,109
0.173913,0.666667,0.275862,0.400000,0.042105,0.084211,0.473684,95.000000,109
0.318182,0.636364,0.424242,0.157895,0.042105,0.073684,0.726316,95.000000,109
0.176471,0.666667,0.279070,0.294737,0.031579,0.063158,0.610526,95.000000,109
0.243243,0.692308,0.360000,0.294737,0.042105,0.094737,0.568421,95.000000,109
0.178571,0.625000,0.277778,0.242105,0.031579,0.052632,0.673684,95.000000,109
0.120000,1.000000,0.214286,0.463158,0.000000,0.063158,0.473684,95.000000,109
0.195652,0.642857,0.300000,0.389474,0.052632,0.094737,0.463158,95.000000,109
0.136842,1.000000,0.240741,0.863158,0.000000,0.136842,0.000000,95.000000,109
0.259259,0.538462,0.350000,0.210526,0.063158,0.073684,0.652632,95.000000,109
0.204545,0.692308,0.315789,0.368421,0.042105,0.094737,0.494737,95.000000,109
0.105263,1.000000,0.190476,0.894737,0.000000,0.105263,0.000000,95.000000,109
0.104167,0.714286,0.181818,0.452632,0.021053,0.052632,0.473684,95.000000,109
0.166667,0.500000,0.250000,0.315789,0.063158,0.063158,0.557895,95.000000,109
NaN,0.000000,NaN,0.000000,0.115789,0.000000,0.884211,95.000000,109
0.136364,0.300000,0.187500,0.200000,0.073684,0.031579,0.694737,95.000000,109
