Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.264706,0.642857,0.375000,0.263158,0.052632,0.094737,0.589474,95.000000,219
0.208333,0.384615,0.270270,0.200000,0.084211,0.052632,0.663158,95.000000,219
0.084211,1.000000,0.155340,0.915789,0.000000,0.084211,0.000000,95.000000,219
0.073684,1.000000,0.137255,0.926316,0.000000,0.073684,0.000000,95.000000,219
0.126316,1.000000,0.224299,0.873684,0.000000,0.126316,0.000000,95.000000,219
0.242424,0.666667,0.355556,0.263158,0.042105,0.084211,0.610526,95.000000,219
0.218750,0.636364,0.325581,0.263158,0.042105,0.073684,0.621053,95.000000,219
0.109091,0.666667,0.187500,0.515789,0.031579,0.063158,0.389474,95.000000,219
0.136842,1.000000,0.240741,0.863158,0.000000,0.136842,0.000000,95.000000,219
0.166667,0.500000,0.250000,0.210526,0.042105,0.042105,0.705263,95.000000,219
0.185185,0.833333,0.303030,0.231579,0.010526,0.052632,0.705263,95.000000,219
0.150000,0.428571,0.222222,0.357895,0.084211,0.063158,0.494737,95.000000,219
0.368421,0.538462,0.437500,0.126316,0.063158,0.073684,0.736842,95.000000,219
0.333333,0.384615,0.357143,0.105263,0.084211,0.052632,0.757895,95.000000,219
0.181818,0.307692,0.228571,0.189474,0.094737,0.042105,0.673684,95.000000,219
0.352941,0.600000,0.444444,0.115789,0.042105,0.063158,0.778947,95.000000,219
0.074074,0.285714,0.117647,0.263158,0.052632,0.021053,0.663158,95.000000,219
0.210526,0.666667,0.320000,0.315789,0.042105,0.084211,0.557895,95.000000,219
0.236842,0.818182,0.367347,0.305263,0.021053,0.094737,0.578947,95.000000,219
0.200000,0.600000,0.300000,0.252632,0.042105,0.063158,0.642105,95.000000,219
