Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.637931,1.000000,0.778947,0.362069,0.000000,0.637931,0.000000,116.000000,53
0.637931,1.000000,0.778947,0.362069,0.000000,0.637931,0.000000,116.000000,53
0.655172,1.000000,0.791667,0.344828,0.000000,0.655172,0.000000,116.000000,53
0.594828,1.000000,0.745946,0.405172,0.000000,0.594828,0.000000,116.000000,53
0.741379,1.000000,0.851485,0.258621,0.000000,0.741379,0.000000,116.000000,53
0.637931,1.000000,0.778947,0.362069,0.000000,0.637931,0.000000,116.000000,53
0.672414,1.000000,0.804124,0.327586,0.000000,0.672414,0.000000,116.000000,53
0.603448,1.000000,0.752688,0.396552,0.000000,0.603448,0.000000,116.000000,53
0.672414,1.000000,0.804124,0.327586,0.000000,0.672414,0.000000,116.000000,53
0.620690,1.000000,0.765957,0.379310,0.000000,0.620690,0.000000,116.000000,53
0.750000,1.000000,0.857143,0.250000,0.000000,0.750000,0.000000,116.000000,53
0.655172,1.000000,0.791667,0.344828,0.000000,0.655172,0.000000,116.000000,53
0.620690,1.000000,0.765957,0.379310,0.000000,0.620690,0.000000,116.000000,53
0.672414,1.000000,0.804124,0.327586,0.000000,0.672414,0.000000,116.000000,53
0.672414,1.000000,0.804124,0.327586,0.000000,0.672414,0.000000,116.000000,53
0.603448,1.000000,0.752688,0.396552,0.000000,0.603448,0.000000,116.000000,53
0.646552,1.000000,0.785340,0.353448,0.000000,0.646552,0.000000,116.000000,53
0.672414,1.000000,0.804124,0.327586,0.000000,0.672414,0.000000,116.000000,53
0.637931,1.000000,0.778947,0.362069,0.000000,0.637931,0.000000,116.000000,53
0.655172,1.000000,0.791667,0.344828,0.000000,0.655172,0.000000,116.000000,53
