Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,21
NaN,0.000000,NaN,0.000000,0.270270,0.000000,0.729730,222.000000,21
0.507937,0.533333,0.520325,0.139640,0.126126,0.144144,0.590090,222.000000,21
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,21
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,21
NaN,0.000000,NaN,0.000000,0.270270,0.000000,0.729730,222.000000,21
NaN,0.000000,NaN,0.000000,0.270270,0.000000,0.729730,222.000000,21
NaN,0.000000,NaN,0.000000,0.270270,0.000000,0.729730,222.000000,21
0.512821,0.333333,0.404040,0.085586,0.180180,0.090090,0.644144,222.000000,21
NaN,0.000000,NaN,0.000000,0.270270,0.000000,0.729730,222.000000,21
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,21
0.534483,0.516667,0.525424,0.121622,0.130631,0.139640,0.608108,222.000000,21
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,21
0.455882,0.516667,0.484375,0.166667,0.130631,0.139640,0.563063,222.000000,21
0.534884,0.383333,0.446602,0.090090,0.166667,0.103604,0.639640,222.000000,21
0.482759,0.466667,0.474576,0.135135,0.144144,0.126126,0.594595,222.000000,21
0.400000,0.533333,0.457143,0.216216,0.126126,0.144144,0.513514,222.000000,21
NaN,0.000000,NaN,0.000000,0.270270,0.000000,0.729730,222.000000,21
0.534483,0.516667,0.525424,0.121622,0.130631,0.139640,0.608108,222.000000,21
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,21
