Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.111111,0.200000,0.142857,0.166667,0.083333,0.020833,0.729167,48.000000,54
0.333333,0.571429,0.421053,0.166667,0.062500,0.083333,0.687500,48.000000,54
0.083333,1.000000,0.153846,0.916667,0.000000,0.083333,0.000000,48.000000,54
0.145833,1.000000,0.254545,0.854167,0.000000,0.145833,0.000000,48.000000,54
0.083333,1.000000,0.153846,0.916667,0.000000,0.083333,0.000000,48.000000,54
0.125000,1.000000,0.222222,0.875000,0.000000,0.125000,0.000000,48.000000,54
NaN,0.000000,NaN,0.000000,0.125000,0.000000,0.875000,48.000000,54
0.041667,1.000000,0.080000,0.958333,0.000000,0.041667,0.000000,48.000000,54
0.200000,0.666667,0.307692,0.166667,0.020833,0.041667,0.770833,48.000000,54
0.133333,1.000000,0.235294,0.270833,0.000000,0.041667,0.687500,48.000000,54
0.037037,0.200000,0.062500,0.541667,0.083333,0.020833,0.354167,48.000000,54
0.104167,1.000000,0.188679,0.895833,0.000000,0.104167,0.000000,48.000000,54
0.083333,1.000000,0.153846,0.916667,0.000000,0.083333,0.000000,48.000000,54
0.200000,0.400000,0.266667,0.166667,0.062500,0.041667,0.729167,48.000000,54
0.100000,0.500000,0.166667,0.187500,0.020833,0.020833,0.770833,48.000000,54
0.062500,1.000000,0.117647,0.937500,0.000000,0.062500,0.000000,48.000000,54
0.133333,0.500000,0.210526,0.270833,0.041667,0.041667,0.645833,48.000000,54
0.145833,1.000000,0.254545,0.854167,0.000000,0.145833,0.000000,48.000000,54
0.444444,0.571429,0.500000,0.104167,0.062500,0.083333,0.750000,48.000000,54
0.083333,1.000000,0.153846,0.916667,0.000000,0.083333,0.000000,48.000000,54
