Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
NaN,0.000000,NaN,0.000000,0.270270,0.000000,0.729730,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.534483,0.516667,0.525424,0.121622,0.130631,0.139640,0.608108,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.480769,0.416667,0.446429,0.121622,0.157658,0.112613,0.608108,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.472727,0.433333,0.452174,0.130631,0.153153,0.117117,0.599099,222.000000,81
0.509434,0.450000,0.477876,0.117117,0.148649,0.121622,0.612613,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
0.270270,1.000000,0.425532,0.729730,0.000000,0.270270,0.000000,222.000000,81
