Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.350649,1.000000,0.519231,0.649351,0.000000,0.350649,0.000000,77.000000,179
0.298701,1.000000,0.460000,0.701299,0.000000,0.298701,0.000000,77.000000,179
0.363636,1.000000,0.533333,0.636364,0.000000,0.363636,0.000000,77.000000,179
0.324675,1.000000,0.490196,0.675325,0.000000,0.324675,0.000000,77.000000,179
0.402597,1.000000,0.574074,0.597403,0.000000,0.402597,0.000000,77.000000,179
0.402597,1.000000,0.574074,0.597403,0.000000,0.402597,0.000000,77.000000,179
0.337662,1.000000,0.504854,0.662338,0.000000,0.337662,0.000000,77.000000,179
0.298701,1.000000,0.460000,0.701299,0.000000,0.298701,0.000000,77.000000,179
0.415584,1.000000,0.587156,0.584416,0.000000,0.415584,0.000000,77.000000,179
0.363636,1.000000,0.533333,0.636364,0.000000,0.363636,0.000000,77.000000,179
0.298701,1.000000,0.460000,0.701299,0.000000,0.298701,0.000000,77.000000,179
0.298701,1.000000,0.460000,0.701299,0.000000,0.298701,0.000000,77.000000,179
0.376623,1.000000,0.547170,0.623377,0.000000,0.376623,0.000000,77.000000,179
0.259740,1.000000,0.412371,0.740260,0.000000,0.259740,0.000000,77.000000,179
0.324675,1.000000,0.490196,0.675325,0.000000,0.324675,0.000000,77.000000,179
0.350649,1.000000,0.519231,0.649351,0.000000,0.350649,0.000000,77.000000,179
0.337662,1.000000,0.504854,0.662338,0.000000,0.337662,0.000000,77.000000,179
0.298701,1.000000,0.460000,0.701299,0.000000,0.298701,0.000000,77.000000,179
0.337662,1.000000,0.504854,0.662338,0.000000,0.337662,0.000000,77.000000,179
0.415584,1.000000,0.587156,0.584416,0.000000,0.415584,0.000000,77.000000,179
