Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.745763,1.000000,0.854369,0.254237,0.000000,0.745763,0.000000,59.000000,47
0.830508,1.000000,0.907407,0.169492,0.000000,0.830508,0.000000,59.000000,47
0.813559,1.000000,0.897196,0.186441,0.000000,0.813559,0.000000,59.000000,47
0.711864,1.000000,0.831683,0.288136,0.000000,0.711864,0.000000,59.000000,47
0.745763,1.000000,0.854369,0.254237,0.000000,0.745763,0.000000,59.000000,47
0.728814,1.000000,0.843137,0.271186,0.000000,0.728814,0.000000,59.000000,47
0.796610,1.000000,0.886792,0.203390,0.000000,0.796610,0.000000,59.000000,47
0.711864,1.000000,0.831683,0.288136,0.000000,0.711864,0.000000,59.000000,47
0.711864,1.000000,0.831683,0.288136,0.000000,0.711864,0.000000,59.000000,47
0.762712,1.000000,0.865385,0.237288,0.000000,0.762712,0.000000,59.000000,47
0.813559,1.000000,0.897196,0.186441,0.000000,0.813559,0.000000,59.000000,47
0.745763,1.000000,0.854369,0.254237,0.000000,0.745763,0.000000,59.000000,47
0.779661,1.000000,0.876190,0.220339,0.000000,0.779661,0.000000,59.000000,47
0.711864,1.000000,0.831683,0.288136,0.000000,0.711864,0.000000,59.000000,47
0.796610,1.000000,0.886792,0.203390,0.000000,0.796610,0.000000,59.000000,47
0.745763,1.000000,0.854369,0.254237,0.000000,0.745763,0.000000,59.000000,47
0.779661,1.000000,0.876190,0.220339,0.000000,0.779661,0.000000,59.000000,47
0.779661,1.000000,0.876190,0.220339,0.000000,0.779661,0.000000,59.000000,47
0.864407,1.000000,0.927273,0.135593,0.000000,0.864407,0.000000,59.000000,47
0.745763,1.000000,0.854369,0.254237,0.000000,0.745763,0.000000,59.000000,47
