Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
0.663551,1.000000,0.797753,0.336449,0.000000,0.663551,0.000000,214.000000,47
