Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.347826,1.000000,0.516129,0.652174,0.000000,0.347826,0.000000,69.000000,32
0.420290,1.000000,0.591837,0.579710,0.000000,0.420290,0.000000,69.000000,32
0.347826,1.000000,0.516129,0.652174,0.000000,0.347826,0.000000,69.000000,32
0.260870,1.000000,0.413793,0.739130,0.000000,0.260870,0.000000,69.000000,32
0.275362,1.000000,0.431818,0.724638,0.000000,0.275362,0.000000,69.000000,32
0.275362,1.000000,0.431818,0.724638,0.000000,0.275362,0.000000,69.000000,32
0.376812,1.000000,0.547368,0.623188,0.000000,0.376812,0.000000,69.000000,32
0.362319,1.000000,0.531915,0.637681,0.000000,0.362319,0.000000,69.000000,32
0.347826,1.000000,0.516129,0.652174,0.000000,0.347826,0.000000,69.000000,32
0.362319,1.000000,0.531915,0.637681,0.000000,0.362319,0.000000,69.000000,32
0.318841,1.000000,0.483516,0.681159,0.000000,0.318841,0.000000,69.000000,32
0.362319,1.000000,0.531915,0.637681,0.000000,0.362319,0.000000,69.000000,32
0.333333,1.000000,0.500000,0.666667,0.000000,0.333333,0.000000,69.000000,32
0.347826,1.000000,0.516129,0.652174,0.000000,0.347826,0.000000,69.000000,32
0.405797,1.000000,0.577320,0.594203,0.000000,0.405797,0.000000,69.000000,32
0.347826,1.000000,0.516129,0.652174,0.000000,0.347826,0.000000,69.000000,32
0.362319,1.000000,0.531915,0.637681,0.000000,0.362319,0.000000,69.000000,32
0.463768,1.000000,0.633663,0.536232,0.000000,0.463768,0.000000,69.000000,32
0.304348,1.000000,0.466667,0.695652,0.000000,0.304348,0.000000,69.000000,32
0.376812,1.000000,0.547368,0.623188,0.000000,0.376812,0.000000,69.000000,32
