Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,107
