Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.159091,1.000000,0.274510,0.840909,0.000000,0.159091,0.000000,132.000000,308
0.238636,1.000000,0.385321,0.507576,0.000000,0.159091,0.333333,132.000000,308
0.178218,1.000000,0.302521,0.628788,0.000000,0.136364,0.234848,132.000000,308
0.174242,1.000000,0.296774,0.825758,0.000000,0.174242,0.000000,132.000000,308
0.288660,1.000000,0.448000,0.522727,0.000000,0.212121,0.265152,132.000000,308
0.121212,1.000000,0.216216,0.878788,0.000000,0.121212,0.000000,132.000000,308
0.113636,1.000000,0.204082,0.886364,0.000000,0.113636,0.000000,132.000000,308
0.159091,1.000000,0.274510,0.840909,0.000000,0.159091,0.000000,132.000000,308
0.180851,1.000000,0.306306,0.583333,0.000000,0.128788,0.287879,132.000000,308
0.232323,1.000000,0.377049,0.575758,0.000000,0.174242,0.250000,132.000000,308
0.175258,0.894737,0.293103,0.606061,0.015152,0.128788,0.250000,132.000000,308
0.225490,1.000000,0.368000,0.598485,0.000000,0.174242,0.227273,132.000000,308
0.181818,1.000000,0.307692,0.818182,0.000000,0.181818,0.000000,132.000000,308
0.224490,1.000000,0.366667,0.575758,0.000000,0.166667,0.257576,132.000000,308
0.293478,1.000000,0.453782,0.492424,0.000000,0.204545,0.303030,132.000000,308
0.351852,0.633333,0.452381,0.265152,0.083333,0.143939,0.507576,132.000000,308
0.174242,1.000000,0.296774,0.825758,0.000000,0.174242,0.000000,132.000000,308
0.174242,1.000000,0.296774,0.825758,0.000000,0.174242,0.000000,132.000000,308
0.225490,1.000000,0.368000,0.598485,0.000000,0.174242,0.227273,132.000000,308
0.143939,1.000000,0.251656,0.856061,0.000000,0.143939,0.000000,132.000000,308
