Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,308
0.201835,0.956522,0.333333,0.576159,0.006623,0.145695,0.271523,453.000000,308
0.201835,0.956522,0.333333,0.576159,0.006623,0.145695,0.271523,453.000000,308
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,308
0.201835,0.956522,0.333333,0.576159,0.006623,0.145695,0.271523,453.000000,308
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,308
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,308
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,308
0.201835,0.956522,0.333333,0.576159,0.006623,0.145695,0.271523,453.000000,308
0.201835,0.956522,0.333333,0.576159,0.006623,0.145695,0.271523,453.000000,308
0.156342,0.768116,0.259804,0.631347,0.035320,0.116998,0.216336,453.000000,308
0.201835,0.956522,0.333333,0.576159,0.006623,0.145695,0.271523,453.000000,308
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,308
0.200608,0.956522,0.331658,0.580574,0.006623,0.145695,0.267108,453.000000,308
0.201835,0.956522,0.333333,0.576159,0.006623,0.145695,0.271523,453.000000,308
0.154696,0.405797,0.224000,0.337748,0.090508,0.061810,0.509934,453.000000,308
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,308
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,308
0.201835,0.956522,0.333333,0.576159,0.006623,0.145695,0.271523,453.000000,308
0.152318,1.000000,0.264368,0.847682,0.000000,0.152318,0.000000,453.000000,308
