Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.927660,0.498856,0.648810,0.028912,0.372449,0.370748,0.227891,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.882051,0.393593,0.544304,0.039116,0.450680,0.292517,0.217687,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.895349,0.352403,0.505747,0.030612,0.481293,0.261905,0.226190,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
0.743197,1.000000,0.852683,0.256803,0.000000,0.743197,0.000000,588.000000,31
