Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.139706,1.000000,0.245161,0.860294,0.000000,0.139706,0.000000,136.000000,237
0.216867,0.818182,0.342857,0.477941,0.029412,0.132353,0.360294,136.000000,237
0.095588,1.000000,0.174497,0.904412,0.000000,0.095588,0.000000,136.000000,237
0.245614,0.777778,0.373333,0.316176,0.029412,0.102941,0.551471,136.000000,237
0.191176,1.000000,0.320988,0.808824,0.000000,0.191176,0.000000,136.000000,237
0.205882,1.000000,0.341463,0.794118,0.000000,0.205882,0.000000,136.000000,237
0.154412,1.000000,0.267516,0.845588,0.000000,0.154412,0.000000,136.000000,237
0.125000,1.000000,0.222222,0.875000,0.000000,0.125000,0.000000,136.000000,237
0.132353,1.000000,0.233766,0.867647,0.000000,0.132353,0.000000,136.000000,237
0.154412,1.000000,0.267516,0.845588,0.000000,0.154412,0.000000,136.000000,237
0.333333,0.809524,0.472222,0.250000,0.029412,0.125000,0.595588,136.000000,237
0.147059,1.000000,0.256410,0.852941,0.000000,0.147059,0.000000,136.000000,237
0.169118,1.000000,0.289308,0.830882,0.000000,0.169118,0.000000,136.000000,237
0.342857,0.857143,0.489796,0.338235,0.029412,0.176471,0.455882,136.000000,237
0.198529,1.000000,0.331288,0.801471,0.000000,0.198529,0.000000,136.000000,237
0.102941,1.000000,0.186667,0.897059,0.000000,0.102941,0.000000,136.000000,237
0.154412,1.000000,0.267516,0.845588,0.000000,0.154412,0.000000,136.000000,237
0.147059,1.000000,0.256410,0.852941,0.000000,0.147059,0.000000,136.000000,237
0.169118,1.000000,0.289308,0.830882,0.000000,0.169118,0.000000,136.000000,237
0.169118,1.000000,0.289308,0.830882,0.000000,0.169118,0.000000,136.000000,237
