Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.258621,0.789474,0.389610,0.316176,0.029412,0.110294,0.544118,136.000000,237
0.161765,1.000000,0.278481,0.838235,0.000000,0.161765,0.000000,136.000000,237
0.187500,0.923077,0.311688,0.382353,0.007353,0.088235,0.522059,136.000000,237
0.171429,1.000000,0.292683,0.639706,0.000000,0.132353,0.227941,136.000000,237
0.191176,1.000000,0.320988,0.808824,0.000000,0.191176,0.000000,136.000000,237
0.465116,0.714286,0.563380,0.169118,0.058824,0.147059,0.625000,136.000000,237
0.154412,1.000000,0.267516,0.845588,0.000000,0.154412,0.000000,136.000000,237
0.125000,1.000000,0.222222,0.875000,0.000000,0.125000,0.000000,136.000000,237
0.132353,1.000000,0.233766,0.867647,0.000000,0.132353,0.000000,136.000000,237
0.333333,0.809524,0.472222,0.250000,0.029412,0.125000,0.595588,136.000000,237
0.333333,0.809524,0.472222,0.250000,0.029412,0.125000,0.595588,136.000000,237
0.147059,1.000000,0.256410,0.852941,0.000000,0.147059,0.000000,136.000000,237
0.169118,1.000000,0.289308,0.830882,0.000000,0.169118,0.000000,136.000000,237
0.327273,0.642857,0.433735,0.272059,0.073529,0.132353,0.522059,136.000000,237
0.198529,1.000000,0.331288,0.801471,0.000000,0.198529,0.000000,136.000000,237
0.102941,1.000000,0.186667,0.897059,0.000000,0.102941,0.000000,136.000000,237
0.154412,1.000000,0.267516,0.845588,0.000000,0.154412,0.000000,136.000000,237
0.147059,1.000000,0.256410,0.852941,0.000000,0.147059,0.000000,136.000000,237
0.384615,0.434783,0.408163,0.117647,0.095588,0.073529,0.713235,136.000000,237
0.311475,0.826087,0.452381,0.308824,0.029412,0.139706,0.522059,136.000000,237
