Precision,Recall,F1,MSE
0.600000,0.470588,0.527473,0.641484
0.543478,0.543478,0.543478,1.132295
0.656250,0.488372,0.560000,0.870992
0.588235,0.612245,0.600000,1.023048
0.486111,0.729167,0.583333,1.188737
0.617021,0.580000,0.597938,0.618280
0.538462,0.600000,0.567568,0.818587
0.578947,0.536585,0.556962,0.557983
0.695652,0.581818,0.633663,1.268433
0.625000,0.462963,0.531915,0.751903
0.628571,0.478261,0.543210,0.824243
0.637931,0.755102,0.691589,0.661271
0.532258,0.673469,0.594595,1.049877
0.596491,0.586207,0.591304,1.204909
0.539683,0.641509,0.586207,0.890302
0.686275,0.673077,0.679612,1.128309
0.571429,0.679245,0.620690,1.038500
0.617021,0.557692,0.585859,1.087785
0.622642,0.673469,0.647059,1.248019
0.500000,0.500000,0.500000,0.786713
0.500000,0.448980,0.473118,0.695042
0.694444,0.500000,0.581395,0.856347
0.666667,0.530612,0.590909,1.068652
0.666667,0.636364,0.651163,0.784855
0.500000,0.705882,0.585366,0.981979
0.608696,0.583333,0.595745,0.752417
0.666667,0.528302,0.589474,0.563355
0.687500,0.647059,0.666667,1.224406
0.575000,0.450980,0.505495,0.892743
0.531915,0.510204,0.520833,0.744972
0.568182,0.531915,0.549451,0.621118
0.555556,0.576923,0.566038,1.339664
0.821429,0.353846,0.494624,1.160614
0.568182,0.500000,0.531915,0.751329
0.577778,0.541667,0.559140,0.972600
0.648649,0.444444,0.527473,1.296024
0.524590,0.744186,0.615385,0.935517
0.710526,0.500000,0.586957,1.375051
0.580645,0.654545,0.615385,0.853869
0.500000,0.621622,0.554217,1.026609
0.617021,0.517857,0.563107,0.732614
0.468085,0.488889,0.478261,0.949704
0.611111,0.564103,0.586667,0.766149
0.500000,0.545455,0.521739,0.895601
0.558140,0.521739,0.539326,0.841643
0.519231,0.613636,0.562500,0.689513
0.585366,0.533333,0.558140,0.623567
0.550000,0.458333,0.500000,0.685159
0.681818,0.612245,0.645161,1.683885
0.587302,0.685185,0.632479,0.919828
0.629032,0.672414,0.650000,0.832289
0.460317,0.591837,0.517857,1.258752
0.521739,0.444444,0.480000,0.595560
0.483333,0.591837,0.532110,1.141992
0.426829,0.714286,0.534351,0.729675
0.625000,0.612245,0.618557,1.009023
0.684211,0.464286,0.553191,1.043086
0.651163,0.560000,0.602151,1.084024
0.673077,0.686275,0.679612,0.697214
0.525424,0.607843,0.563636,1.061959
0.553571,0.596154,0.574074,1.307219
0.631579,0.642857,0.637168,0.836078
0.634146,0.464286,0.536082,0.859712
0.423529,0.800000,0.553846,0.966020
0.631579,0.571429,0.600000,1.224233
0.606557,0.725490,0.660714,0.902514
0.545455,0.697674,0.612245,0.982091
0.702128,0.647059,0.673469,1.284169
0.595745,0.491228,0.538462,1.455183
0.551724,0.340426,0.421053,0.617607
0.540000,0.600000,0.568421,0.840488
0.658537,0.574468,0.613636,0.503828
0.680000,0.586207,0.629630,1.082527
0.425287,0.685185,0.524823,1.025035
0.600000,0.588235,0.594059,1.097400
0.553571,0.645833,0.596154,1.104997
0.651163,0.500000,0.565657,1.601768
0.622222,0.583333,0.602151,1.034776
0.673913,0.607843,0.639175,1.077593
0.607143,0.607143,0.607143,1.402594
0.488889,0.500000,0.494382,0.979954
0.645833,0.584906,0.613861,1.110474
0.549020,0.622222,0.583333,0.848296
0.609756,0.500000,0.549451,0.711201
0.558140,0.558140,0.558140,0.539811
0.781250,0.416667,0.543478,1.879306
0.557692,0.591837,0.574257,0.724650
0.552239,0.672727,0.606557,1.102059
0.666667,0.612245,0.638298,0.755645
0.478261,0.536585,0.505747,0.505622
0.641509,0.576271,0.607143,1.173709
0.488889,0.478261,0.483516,0.650897
0.675000,0.540000,0.600000,0.684327
0.690476,0.580000,0.630435,1.306746
0.625000,0.520833,0.568182,0.596602
0.666667,0.622951,0.644068,0.851462
0.611111,0.523810,0.564103,0.419107
0.730769,0.603175,0.660870,1.580210
0.603448,0.660377,0.630631,1.239121
0.720930,0.607843,0.659574,0.891902
