Precision,Recall,F1,MSE
0.585366,0.470588,0.521739,0.667567
0.531915,0.543478,0.537634,1.087335
0.483333,0.674419,0.563107,0.935231
0.537037,0.591837,0.563107,0.845191
0.486111,0.729167,0.583333,1.202493
0.479452,0.700000,0.569106,0.685542
0.525000,0.600000,0.560000,0.645152
0.628571,0.536585,0.578947,0.617403
0.593220,0.636364,0.614035,1.381261
0.595745,0.518519,0.554455,0.681958
0.628571,0.478261,0.543210,0.726855
0.652174,0.612245,0.631579,0.743926
0.532258,0.673469,0.594595,1.033637
0.615385,0.275862,0.380952,1.214856
0.539683,0.641509,0.586207,0.804568
0.686275,0.673077,0.679612,0.962937
0.500000,0.679245,0.576000,0.937748
0.617021,0.557692,0.585859,1.080407
0.550725,0.775510,0.644068,1.248188
0.500000,0.565217,0.530612,0.756104
0.520833,0.510204,0.515464,0.738293
0.694444,0.500000,0.581395,0.886450
0.702703,0.530612,0.604651,1.120695
0.675000,0.613636,0.642857,0.883400
0.675676,0.490196,0.568182,1.055251
0.600000,0.562500,0.580645,0.583590
0.400000,0.792453,0.531646,0.626740
0.702128,0.647059,0.673469,1.052704
0.516129,0.627451,0.566372,0.898755
0.490566,0.530612,0.509804,0.741657
0.585366,0.510638,0.545455,0.618103
0.451613,0.538462,0.491228,1.314311
0.884615,0.353846,0.505495,1.240399
0.568182,0.500000,0.531915,0.656728
0.583333,0.583333,0.583333,1.014881
0.648649,0.444444,0.527473,1.314613
0.508475,0.697674,0.588235,0.895931
0.710526,0.500000,0.586957,1.407879
0.629630,0.618182,0.623853,0.975369
0.392405,0.837838,0.534483,1.227365
0.607843,0.553571,0.579439,0.710848
0.461538,0.533333,0.494845,0.992734
0.631579,0.615385,0.623377,0.698825
0.500000,0.545455,0.521739,0.832848
0.558140,0.521739,0.539326,0.832355
0.519231,0.613636,0.562500,0.639695
0.615385,0.533333,0.571429,0.655499
0.550000,0.458333,0.500000,0.703387
0.681818,0.612245,0.645161,1.677942
0.569231,0.685185,0.621849,0.966771
0.716981,0.655172,0.684685,0.912832
0.414634,0.693878,0.519084,1.201960
0.517857,0.537037,0.527273,0.513462
0.483333,0.591837,0.532110,1.343014
0.426829,0.714286,0.534351,0.890774
0.657895,0.510204,0.574713,1.010714
0.631579,0.428571,0.510638,1.025877
0.666667,0.560000,0.608696,1.087469
0.634146,0.509804,0.565217,0.681808
0.555556,0.490196,0.520833,1.070071
0.568627,0.557692,0.563107,1.412109
0.654545,0.642857,0.648649,0.797528
0.634146,0.464286,0.536082,0.863127
0.567568,0.466667,0.512195,1.031579
0.637931,0.587302,0.611570,1.246577
0.614035,0.686275,0.648148,0.886521
0.439394,0.674419,0.532110,1.020308
0.702128,0.647059,0.673469,0.954760
0.461538,0.736842,0.567568,1.428332
0.514286,0.382979,0.439024,0.682832
0.547619,0.511111,0.528736,0.944661
0.658537,0.574468,0.613636,0.514849
0.679245,0.620690,0.648649,1.044674
0.376344,0.648148,0.476190,1.042238
0.611111,0.647059,0.628571,1.055324
0.376238,0.791667,0.510067,1.208934
0.682927,0.500000,0.577320,1.520598
0.500000,0.666667,0.571429,0.983247
0.673913,0.607843,0.639175,1.128831
0.437500,0.750000,0.552632,1.533607
0.403226,0.568182,0.471698,1.037530
0.614035,0.660377,0.636364,1.201885
0.565217,0.577778,0.571429,0.802648
0.578947,0.440000,0.500000,0.915123
0.531915,0.581395,0.555556,0.568891
0.641791,0.716667,0.677165,1.795627
0.641026,0.510204,0.568182,0.702203
0.443038,0.636364,0.522388,1.191984
0.618182,0.693878,0.653846,0.827863
0.480769,0.609756,0.537634,0.577810
0.641509,0.576271,0.607143,1.042021
0.555556,0.434783,0.487805,0.694602
0.617021,0.580000,0.597938,0.711037
0.603774,0.640000,0.621359,1.364324
0.571429,0.583333,0.577320,0.596671
0.760870,0.573770,0.654206,0.764141
0.578947,0.523810,0.550000,0.441336
0.576471,0.777778,0.662162,1.452826
0.593750,0.716981,0.649573,1.303022
0.622642,0.647059,0.634615,1.061365
