@relation CM1

@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
4.043051,2.397895,4.110874,3.465736,4.663439,3.367296,0.13,3.912023,2.12,3.091042,0.76,5.081404,3.295837,0.93,5.105945,1.098612,204.29,41.72,355647.88,2.84,7.013915,0.02,19758.22,8523.85,0.93,3.332205,3.970292,4.89784,0.09,6.137727,6.475433,5.147494,3.433987,5.726848,36.05,5.420535,N
2.197225,1.098612,1.386294,1.609438,2.639057,1.609438,0.16,1.791759,2.33,1.098612,0.6,2.995732,1.098612,0.5,3.295837,-13.815511,24.71,21.86,11802.86,0.18,4.682131,0.05,655.71,6.291569,0.6,1.386294,1.94591,2.833213,0.11,3.526361,4.304065,2.639057,2.890372,3.78419,3.218876,3.433987,N
1.609438,0,0.693147,-13.815511,2.079442,1.098612,0.13,1.386294,0.693147,0.693147,0.67,2.302585,0,-13.815511,3.091042,0.693147,55.95,7.24,2931.85,0.14,4.394449,0.14,162.88,6.003887,0.33,0.693147,1.386294,2.197225,0.09,3.610918,3.78419,3.135494,2.197225,3.465736,8.33,3.178054,N
2.70805,1.386294,2.639057,3.091042,3.332205,2.079442,0.2,2.639057,0.693147,1.791759,0.75,3.401197,1.386294,0.43,3.295837,1.791759,35.27,13.74,6655.21,0.16,4.532599,0.07,369.73,484.48,0.5,1.94591,2.639057,3.178054,0.11,3.367296,4.158883,2.944439,2.890372,4.290459,57.14,3.713572,N
1.94591,-13.815511,0.693147,2.639057,2.302585,1.386294,0.24,1.386294,2.5,0,0.25,2.397895,1.098612,0.67,2.70805,-13.815511,17.03,14.68,3670.2,0.08,3.951244,0.07,203.9,249.98,0.75,1.098612,1.609438,2.197225,0.17,2.944439,3.496508,2.397895,2.833213,3.135494,51.61,2.833213,N
2.197225,2.079442,2.197225,2.639057,2.772589,1.609438,0.07,2.079442,0.693147,1.609438,0,3.178054,0,-13.815511,4.094345,2.079442,97.85,22.12,47876.6,0.72,5.802118,0.05,2659.81,2164.46,0.2,1.386294,2.079442,3.044522,0.03,4.736198,5.379897,4.204693,3.258097,4.983607,27.71,4.234107,N
1.098612,0,1.386294,2.484907,1.386294,0.693147,0.14,0.693147,0.693147,0.693147,0,1.609438,0,-13.815511,2.302585,1.098612,15.6,6.67,693.33,0.03,3.258097,0.15,38.52,4.644391,0.5,0,0.693147,1.609438,0.06,2.079442,2.890372,1.791759,2.302585,3.465736,61.54,2.639057,N
1.098612,0,0.693147,-13.815511,1.386294,0.693147,0.14,0.693147,0.693147,0.693147,0,1.791759,0,-13.815511,2.484907,0.693147,20.76,2.5,129.72,0.02,2.70805,0.4,7.21,51.89,0.5,0,0.693147,1.791759,0.12,1.791759,2.197225,1.791759,1.609438,2.833213,14.29,2.639057,N
1.609438,0.693147,-13.815511,3.663562,2.079442,1.098612,0.06,1.386294,0.693147,0,0.33,2.564949,0,-13.815511,3.850148,0.693147,59.87,15.65,14671.27,0.31,5.010635,0.06,815.07,937.19,0.33,0.693147,1.386294,2.484907,0.02,4.406719,4.219508,4.007333,3.044522,4.795791,45.35,3.850148,N
1.94591,1.098612,0,0,2.079442,1.386294,0.22,0.693147,1.386294,0.693147,0.5,2.484907,0,-13.815511,2.833213,0,3.218876,13.6,8.439015,0.11,4.219508,0.07,256.89,5.828946,0.25,1.098612,1.386294,2.302585,0.15,3.178054,3.78419,2.70805,2.833213,3.258097,10.53,2.890372,N
